earthquakeID,earthquakeTime,earthquakeDay,earthquakeLatitude,earthquakeLongitude,earthquakeMagnitude,City,cityLatitude,cityLongitude,Country,cityPopulation,cityDistance,stationDode,stationName,stationLatitude,stationLongitude,stationDistance,Wave
us2000b1v8,07:59:32,06/10/2017,37.5033,144.0201,6.2,Sendai,38.2871,141.0217,Japan,2250000,172.202606,MAJO,Matsushiro,36.54567,138.20406,327.5051278,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=MAJO&loc=00&cha=BHZ&starttime=2017-10-06T00:00:00&endtime=2017-10-07T00:00:00&output=plot
us2000b2sv,14:04:38,08/10/2017,-18.9903,-175.5659,6.1,Neiafu,-18.6496,-173.9833,Tonga,7391,106.1386363,AFI,Afiamalu,-13.9093,-171.7773,431.5098693,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=AFI&loc=00&cha=BHZ&starttime=2017-10-08T00:00:00&endtime=2017-10-09T00:00:00&output=plot
us2000b2v1,20:48:58,08/10/2017,-61.7467,154.5985,6.2,Oban,-46.8876,168.1666,New Zealand,310,1157.817046,SBA,Scott Base,-77.8492,166.7572,1143.98885,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=SBA&loc=00&cha=BHZ&starttime=2017-10-08T00:00:00&endtime=2017-10-09T00:00:00&output=plot
us2000b2vq,22:34:33,08/10/2017,52.3909,176.7691,6.5,Ust Kamchatsk,56.2135,162.435,Russia,4939,633.7967255,ADK,Adak Aleutian Islands Alaska,51.8823,-176.6842,279.7363982,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=ADK&loc=00&cha=BHZ&starttime=2017-10-08T00:00:00&endtime=2017-10-09T00:00:00&output=plot
us2000b3dm,06:32:21,10/10/2017,-18.5715,-69.7526,6.3,Arica,-18.5,-70.29,Chile,185999,35.54781749,LVC,Limon Verde,-22.6127,-68.9111,284.458357,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=LVC&loc=00&cha=BHZ&starttime=2017-10-10T00:00:00&endtime=2017-10-11T00:00:00&output=plot
us2000bibm,09:00:19,04/11/2017,-15.3197,-173.1682,6.8,Satupa`itea,-13.7659,-172.3269,Samoa,,121.2013217,AFI,Afiamalu,-13.9093,-171.7773,134.6910136,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=AFI&loc=00&cha=BHZ&starttime=2017-11-04T00:00:00&endtime=2017-11-05T00:00:00&output=plot
us2000bk15,21:26:38,07/11/2017,-4.2433,143.4846,6.5,Wewak,-3.5535,143.6367,Papua New Guinea,25143,48.79785341,PMG,Port Moresby,-9.4047,147.1597,436.6699347,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=PMG&loc=00&cha=BHZ&starttime=2017-11-07T00:00:00&endtime=2017-11-08T00:00:00&output=plot
us2000bkrv,07:42:11,09/11/2017,32.5208,141.438,6,Yokohama,35.32,139.58,Japan,3697894,220.7797873,MAJO,Matsushiro,36.54567,138.20406,333.4220474,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=MAJO&loc=00&cha=BHZ&starttime=2017-11-09T00:00:00&endtime=2017-11-10T00:00:00&output=plot
us2000blul,00:36:14,11/11/2017,-11.7424,-14.1142,6.1,Georgetown,-7.9286,-14.4119,Saint Helena,,264.2733145,RCBR,Riachuelo,-5.8274,-35.9014,1541.841494,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=RCBR&loc=00&cha=BHZ&starttime=2017-11-11T00:00:00&endtime=2017-11-12T00:00:00&output=plot
us2000bmcg,18:18:17,12/11/2017,34.9109,45.9592,7.3,Qasr-e Shirin,34.5124,45.5772,Iran,11202,35.05297722,GNI,Garni,40.148,44.741,367.9243039,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=GNI&loc=00&cha=BHZ&starttime=2017-11-12T00:00:00&endtime=2017-11-13T00:00:00&output=plot
us2000bmhe,02:28:23,13/11/2017,9.5147,-84.4865,6.5,Alajuela,10.02,-84.23,Costa Rica,387743,39.03593298,OTAV,Otavalo,0.2376,-78.4508,763.5930012,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=OTAV&loc=00&cha=BHZ&starttime=2017-11-13T00:00:00&endtime=2017-11-14T00:00:00&output=plot
us2000bqsn,22:34:19,17/11/2017,29.8333,94.9838,6.4,Nyingchi,29.5333,94.4167,China,100,39.85329956,CHTO,Chiang Mai,18.8141,98.9443,800.9121403,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=CHTO&loc=00&cha=BHZ&starttime=2017-11-17T00:00:00&endtime=2017-11-18T00:00:00&output=plot
us2000brbk,09:25:48,19/11/2017,-21.6377,168.6729,6.3,We,-20.9,167.2667,New Caledonia,,103.8963034,RAO,Raoul,-29.245,-177.929,986.2395571,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=RAO&loc=00&cha=BHZ&starttime=2017-11-19T00:00:00&endtime=2017-11-20T00:00:00&output=plot
us2000brgk,15:09:02,19/11/2017,-21.5027,168.5984,6.6,We,-20.9,167.2667,New Caledonia,,95.35169427,RAO,Raoul,-29.245,-177.929,995.5164724,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=RAO&loc=00&cha=BHZ&starttime=2017-11-19T00:00:00&endtime=2017-11-20T00:00:00&output=plot
us2000brlf,22:43:29,19/11/2017,-21.3246,168.6715,7,We,-20.9,167.2667,New Caledonia,,95.17595114,RAO,Raoul,-29.245,-177.929,998.8491386,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=RAO&loc=00&cha=BHZ&starttime=2017-11-19T00:00:00&endtime=2017-11-20T00:00:00&output=plot
us2000brnd,00:09:23,20/11/2017,-21.4848,168.8088,6,We,-20.9,167.2667,New Caledonia,,107.2397812,RAO,Raoul,-29.245,-177.929,985.2129354,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=RAO&loc=00&cha=BHZ&starttime=2017-11-20T00:00:00&endtime=2017-11-21T00:00:00&output=plot
us2000brz0,18:51:07,20/11/2017,-14.7243,-175.0485,6,Mata-Utu,-13.2825,-176.1736,Wallis And Futuna,,124.9448233,AFI,Afiamalu,-13.9093,-171.7773,226.1076779,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=AFI&loc=00&cha=BHZ&starttime=2017-11-20T00:00:00&endtime=2017-11-21T00:00:00&output=plot
us2000burc,07:11:11,27/11/2017,-4.5746,153.2269,6,Rabaul,-4.2055,152.1434,Papua New Guinea,8074,78.8753701,PMG,Port Moresby,-9.4047,147.1597,533.2598432,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=PMG&loc=00&cha=BHZ&starttime=2017-11-27T00:00:00&endtime=2017-11-28T00:00:00&output=plot
us2000c1wt,00:22:54,08/12/2017,10.1164,140.2197,6.4,Colonia,9.5144,138.1292,Micronesia,,148.2706447,GUMO,Guam,13.5893,144.8684,395.3981244,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=GUMO&loc=00&cha=BHZ&starttime=2017-12-08T00:00:00&endtime=2017-12-09T00:00:00&output=plot
us2000c1zn,09:51:08,08/12/2017,10.0116,140.1871,6.3,Colonia,9.5144,138.1292,Micronesia,,144.2698331,GUMO,Guam,13.5893,144.8684,401.6131868,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=GUMO&loc=00&cha=BHZ&starttime=2017-12-08T00:00:00&endtime=2017-12-09T00:00:00&output=plot
us2000c2du,15:14:24,09/12/2017,10.0928,140.2016,6.1,Colonia,9.5144,138.1292,Micronesia,,146.6404769,GUMO,Guam,13.5893,144.8684,397.3707768,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=GUMO&loc=00&cha=BHZ&starttime=2017-12-09T00:00:00&endtime=2017-12-10T00:00:00&output=plot
us2000c3ag,08:43:18,12/12/2017,30.7372,57.2795,6,Kerman,30.3,57.08,Iran,577514,32.45613584,KBL,Kabul,34.5408,69.0432,732.5365764,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=KBL&loc=00&cha=BHZ&starttime=2017-12-12T00:00:00&endtime=2017-12-13T00:00:00&output=plot
us2000c3mi,21:41:31,12/12/2017,30.8275,57.2982,6,Kerman,30.3,57.08,Iran,577514,38.68769684,KBL,Kabul,34.5408,69.0432,728.9934353,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=KBL&loc=00&cha=BHZ&starttime=2017-12-12T00:00:00&endtime=2017-12-13T00:00:00&output=plot
us2000c3y6,18:03:43,13/12/2017,-54.2189,2.1628,6.5,Edinburgh of the Seven Seas,-37.0675,-12.3105,Saint Helena,,1369.826263,TRIS,Tristan da Cunha,-37.0681,-12.3152,1369.900503,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=TRIS&loc=00&cha=BHZ&starttime=2017-12-13T00:00:00&endtime=2017-12-14T00:00:00&output=plot
us2000c4v8,16:47:58,15/12/2017,-7.4921,108.1743,6.5,Tasikmalaya,-7.3254,108.2147,Indonesia,271143,11.84524029,MBWA,Marble Bar,-21.159,119.7313,1219.2626,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=MBWA&loc=00&cha=BHZ&starttime=2017-12-15T00:00:00&endtime=2017-12-16T00:00:00&output=plot
